2025-06-07 15:15:01,970 - chess_cot_generation - INFO - Starting chess COT generation with performance optimizations
2025-06-07 15:15:01,970 - chess_cot_generation - INFO - Configuration: Workers=8, Batch_Size=32, Top_K=5
2025-06-07 15:15:03,453 - chess_cot_generation - INFO - Ray initialized with 8 workers
2025-06-07 15:15:03,454 - chess_cot_generation - INFO - Creating Stockfish workers...
2025-06-07 15:15:05,499 - chess_cot_generation - INFO - 8 Stockfish workers created
2025-06-07 15:15:05,499 - chess_cot_generation - INFO - Initializing FEN generator from: /media/maxime/385e67e0-8703-4723-a0bc-af3a292fd030/stockfish_data/Leela_training
2025-06-07 15:15:05,500 - chess_cot_generation - INFO - Using real dir_iterator
2025-06-07 15:15:05,500 - chess_cot_generation - INFO - Starting processing loop for up to 1000000 batches
2025-06-07 22:41:08,440 - chess_cot_generation - INFO - Performance Stats - Batch 1040: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 33312, CPU: 86.3%, Memory: 46.8%
2025-06-07 22:45:25,556 - chess_cot_generation - INFO - Performance Stats - Batch 1050: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 33632, CPU: 86.6%, Memory: 47.3%
2025-06-07 22:49:45,948 - chess_cot_generation - INFO - Performance Stats - Batch 1060: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 33952, CPU: 84.7%, Memory: 47.0%
2025-06-07 22:54:04,021 - chess_cot_generation - INFO - Performance Stats - Batch 1070: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 34272, CPU: 87.9%, Memory: 46.9%
2025-06-07 22:58:14,016 - chess_cot_generation - INFO - Performance Stats - Batch 1080: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 34592, CPU: 86.9%, Memory: 47.1%
2025-06-07 23:02:26,911 - chess_cot_generation - INFO - Performance Stats - Batch 1090: Throughput: 1.26 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 34912, CPU: 90.0%, Memory: 47.1%
2025-06-07 23:06:55,688 - chess_cot_generation - INFO - Performance Stats - Batch 1100: Throughput: 1.25 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 35232, CPU: 87.5%, Memory: 46.9%
2025-06-07 23:11:31,690 - chess_cot_generation - INFO - Performance Stats - Batch 1110: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.7%, Total Processed: 35552, CPU: 86.1%, Memory: 46.9%
2025-06-07 23:15:43,068 - chess_cot_generation - INFO - Performance Stats - Batch 1120: Throughput: 1.24 FENs/sec, Avg Worker Util: 85.8%, Total Processed: 35872, CPU: 88.7%, Memory: 47.1%
2025-06-07 23:21:13,277 - chess_cot_generation - INFO - Performance Stats - Batch 1130: Throughput: 1.20 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 36192, CPU: 69.0%, Memory: 47.2%
2025-06-07 23:25:18,096 - chess_cot_generation - INFO - Performance Stats - Batch 1140: Throughput: 1.21 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 36512, CPU: 85.8%, Memory: 47.1%
2025-06-07 23:29:36,481 - chess_cot_generation - INFO - Performance Stats - Batch 1150: Throughput: 1.21 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 36832, CPU: 88.0%, Memory: 46.9%
2025-06-07 23:33:56,954 - chess_cot_generation - INFO - Performance Stats - Batch 1160: Throughput: 1.21 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 37152, CPU: 85.5%, Memory: 47.0%
2025-06-07 23:38:16,189 - chess_cot_generation - INFO - Performance Stats - Batch 1170: Throughput: 1.21 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 37472, CPU: 85.7%, Memory: 46.9%
2025-06-07 23:42:28,365 - chess_cot_generation - INFO - Performance Stats - Batch 1180: Throughput: 1.21 FENs/sec, Avg Worker Util: 85.6%, Total Processed: 37792, CPU: 87.6%, Memory: 47.0%
